pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-08-06,79.1,2.32,5.53,"Schwarber, Kyle",656941,669432,,called_strike,,,,,4,Called Strike,R,L,L,PHI,BAL,S,,,0,0,2025,-0.65,0.61,-0.737258450337644,2.5231858289183100,,,607208,0,1,Bot,,,,,,,-5.504376494300900,-115.01555655352700,-0.7897803342431560,-4.581946104947550,24.193873320731100,-26.930472433102400,3.27,1.59,,,,79.4,1980,6.9,776851,656577,691723,702616,676059,683002,681297,666185,669236,53.62,,,,,,,,5,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,244,-0.005,-0.043,,,,0.043,,0,0,0.583,0.583,27,32,28,32,1,0,5,1,7,2,3.08,-0.65,-0.65,15.8,,,,,
FF,2025-08-06,94.6,1.72,6.43,"Schwarber, Kyle",656941,608650,,ball,,,,,12,Ball,R,L,L,PHI,BAL,B,,,1,2,2025,0.34,1.51,0.3001643796698050,3.7612367551820000,,607208,,0,7,Bot,,,,,,,-4.467144346664550,-137.77310741173700,-4.699886160203690,5.296544447203230,29.2189208872937,-12.007873357607300,3.24,1.47,,,,95.1,2190,6.4,776851,656577,691723,702616,676059,683002,681297,660644,666185,54.08,,,,,,,,58,4,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shade,Standard,158,0.006,0.045,,,,-0.045,,-4,-4,0.108,0.108,34,32,34,32,1,3,3,1,4,2,1.02,0.34,0.34,45.6,,,,,
FF,2025-08-06,94.9,1.67,6.39,"Schwarber, Kyle",656941,608650,,foul,,,,,5,Foul,R,L,L,PHI,BAL,S,,,1,1,2025,0.37,1.55,0.05136353660685720,2.504286500995000,,607208,,0,7,Bot,,,,,,,-5.073977997107050,-137.95541352128800,-8.007939332841090,5.8152506614613800,29.865433094251100,-10.724197334898400,3.36,1.53,172,77.4,63,95.3,2121,6.5,776851,656577,691723,702616,676059,683002,681297,660644,666185,53.98,,,,,,,,58,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shade,Standard,153,-0.007,-0.08,74.9,6.8,,0.08,88.0,-4,-4,0.115,0.115,34,32,34,32,1,3,3,1,4,2,0.98,0.37,0.37,46.3,3.147418338317060,6.108353232813100,31.553430437657200,31.98660821209690,26.623660288597800
CH,2025-08-06,86,1.83,6.36,"Schwarber, Kyle",656941,608650,,ball,,,,,13,Ball,R,L,L,PHI,BAL,B,,,0,1,2025,1.08,0.33,-0.5100094145423170,1.0130768006726400,,607208,,0,7,Bot,,,,,,,-7.734857390312450,-124.91500978335100,-7.12956228093148,12.814910983214900,23.215747262298200,-27.55084190292430,3.35,1.47,,,,86.2,1062,6.4,776851,656577,691723,702616,676059,683002,681297,660644,666185,54.13,,,,,,,,58,2,Changeup,1,5,1,5,5,1,1,5,Infield shade,Standard,106,0.003,0.026,,,,-0.026,,-4,-4,0.112,0.112,34,32,34,32,1,3,3,1,4,2,2.75,1.08,1.08,45.2,,,,,
FF,2025-08-06,94.6,1.74,6.51,"Schwarber, Kyle",656941,608650,,called_strike,,,,,6,Called Strike,R,L,L,PHI,BAL,S,,,0,0,2025,0.39,1.57,0.4601488119228490,2.3896484252857300,,607208,,0,7,Bot,,,,,,,-4.1972332277814900,-137.62737651706900,-8.612061562323760,5.876175188459790,27.835486322497900,-10.48735639507040,3.42,1.62,,,,94.9,2160,6.3,776851,656577,691723,702616,676059,683002,681297,660644,666185,54.24,,,,,,,,58,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shade,Standard,155,-0.005,-0.043,,,,0.043,,-4,-4,0.117,0.117,34,32,34,32,1,3,3,1,4,2,0.96,0.39,0.39,45.9,,,,,
SI,2025-08-05,94.6,-2.71,5.86,"Schwarber, Kyle",656941,665152,field_out,hit_into_play,,,,,4,"Kyle Schwarber grounds out, second baseman Jackson Holliday to first baseman Coby Mayo.",R,L,R,PHI,BAL,X,4,ground_ball,0,1,2025,-1.38,0.91,-0.544232399935755,2.1841605149787000,681082,,,2,4,Bot,158.12,155.58,,,,,8.70448940787689,-137.36372485449600,-5.920530235404660,-19.349687239465500,30.56096096033420,-19.45542379581470,3.36,1.53,5,78.8,-25,94.4,2146,6.3,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.22,0.051,0.047,0,1,0,0,2,35,2,Sinker,4,0,4,0,0,4,4,0,Infield shade,Standard,223,-0.011,-0.231,79.5,7.2,0.059,0.231,88.0,4,4,0.907,0.907,29,32,29,32,3,2,6,1,7,1,1.65,1.38,-1.38,30.4,12.42527221976970,0.3291321352825390,30.101522124952700,37.54256388029130,31.178939560710100
FS,2025-08-05,82.3,-1.8,6.47,"Schwarber, Kyle",656941,665152,,swinging_strike_blocked,,,,,13,Swinging Strike (Blocked),R,L,R,PHI,BAL,S,,,0,0,2025,-0.66,0.27,-0.41327893903896900,0.6610322262458810,681082,,,2,4,Bot,,,,,,,4.4117615632044300,-119.69674101395400,-7.198806928476740,-7.13569401920376,21.648368410949700,-28.4532295883807,3.36,1.53,,,,82.4,1053,6.2,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.25,,,,,,,,35,1,Split-Finger,4,0,4,0,0,4,4,0,Infield shade,Standard,223,-0.002,-0.044,73.1,8.5,,0.044,,4,4,0.909,0.909,29,32,29,32,3,2,6,1,7,1,3.08,0.66,-0.66,50.8,27.444816782686700,-54.176614486537500,30.32018966831750,37.44002861229030,69.0383578267266
FC,2025-08-05,89.7,-2.38,6.07,"Schwarber, Kyle",656941,665152,walk,ball,,,,,14,Kyle Schwarber walks. Bryson Stott to 3rd. Trea Turner to 2nd.,R,L,R,PHI,BAL,B,,,3,2,2025,0.31,0.41,0.886575337620436,2.405365580411890,,681082,607208,2,2,Bot,,,,,,,7.414456346210080,-130.55680065768700,-4.009812426100570,2.1556344663248900,24.75697999363390,-26.845241185050500,3.37,1.53,,,,89.9,2566,6.2,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.32,,0.691497,0.7,1,0,0,,19,7,Cutter,3,0,3,0,0,3,3,0,Infield shade,Standard,167,0.013,0.195,,,,-0.195,,3,3,0.82,0.82,29,32,29,32,2,1,6,1,7,1,2.4,-0.31,0.31,39.8,,,,,
FS,2025-08-05,83.4,-1.95,6.35,"Schwarber, Kyle",656941,665152,,ball,,,,,13,Ball,R,L,R,PHI,BAL,B,,,2,2,2025,-0.84,0.83,-0.24240787244465600,0.9712395949138590,,681082,607208,2,2,Bot,,,,,,,5.579921808712700,-121.17190872108000,-7.562702702951950,-9.360261298014170,22.55152401512010,-22.75161258400330,3.37,1.53,,,,83.5,1236,6.3,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.18,,,,,,,,19,6,Split-Finger,3,0,3,0,0,3,3,0,Infield shade,Standard,225,0.004,0.079,,,,-0.079,,3,3,0.816,0.816,29,32,29,32,2,1,6,1,7,1,2.45,0.84,-0.84,49.3,,,,,
FF,2025-08-05,95.4,-2.13,6.33,"Schwarber, Kyle",656941,665152,,foul,,,,,3,Foul,R,L,R,PHI,BAL,S,,,2,2,2025,-0.55,1.4,0.372307598839989,3.009062589512120,,681082,607208,2,2,Bot,,,,,,,7.780561064242900,-138.56717374169000,-6.195117927280860,-8.829232720211240,32.38523703466830,-12.893460736861800,3.36,1.53,172,74.6,17,95,2360,6.3,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.23,,,,,,,,19,5,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,207,0,0,77.4,6.6,,0,88.0,3,3,0.816,0.816,29,32,29,32,2,1,6,1,7,1,1.12,0.55,-0.55,45.3,6.048531356172650,6.397768421714080,28.981884867101800,26.7300390493452,22.062124316793400
FS,2025-08-05,82.6,-2.05,6.39,"Schwarber, Kyle",656941,665152,,foul,,,,,5,Foul,R,L,R,PHI,BAL,S,,,2,1,2025,-0.93,0.65,-0.1933692618353410,2.585783997810090,,681082,607208,2,2,Bot,,,,,,,6.021418527874410,-120.20259142444300,-3.4305256508080400,-10.145494314514500,23.35926235526530,-25.375758810961200,3.36,1.53,21,89.2,-6,82.5,1004,6.2,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.27,,,,,,,,19,4,Split-Finger,3,0,3,0,0,3,3,0,Infield shade,Standard,221,-0.004,-0.08,84.1,8.3,,0.08,89.2,3,3,0.82,0.82,29,32,29,32,2,1,6,1,7,1,2.69,0.93,-0.93,45.8,23.413824096890600,-25.94648198844040,30.320051053285500,34.66975990794980,42.24079209779220
SI,2025-08-05,93.1,-2.6,5.82,"Schwarber, Kyle",656941,665152,,called_strike,,,,,6,Called Strike,R,L,R,PHI,BAL,S,,,2,0,2025,-1.38,0.82,0.2830670712573850,2.5208238935396700,,681082,607208,2,2,Bot,,,,,,,10.41661226278170,-135.23896194966700,-4.479685338368670,-19.249103285493400,28.972334120498000,-21.291943415817200,3.37,1.53,,,,93,2160,6.3,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.19,,,,,,,,19,3,Sinker,3,0,3,0,0,3,3,0,Infield shade,Standard,218,-0.002,-0.052,,,,0.052,,3,3,0.822,0.822,29,32,29,32,2,1,6,1,7,1,1.82,1.38,-1.38,33.3,,,,,
FF,2025-08-05,94.2,-2,6.37,"Schwarber, Kyle",656941,665152,,ball,,,,,12,Ball,R,L,R,PHI,BAL,B,,,1,0,2025,-0.49,1.6,0.7166772971130030,3.9334426383299000,,681082,607208,2,2,Bot,,,,,,,8.133226346510890,-136.92975698177200,-4.1477730279708700,-8.014495501915690,30.277642599483200,-11.293398606300500,3.44,1.53,,,,93.9,2324,6.2,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.32,,,,,,,,19,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,211,0.002,0.029,,,,-0.029,,3,3,0.82,0.82,29,32,29,32,2,1,6,1,7,1,0.97,0.49,-0.49,45.6,,,,,
FS,2025-08-05,83,-2.2,6.41,"Schwarber, Kyle",656941,665152,,ball,,,,,13,Ball,R,L,R,PHI,BAL,B,,,0,0,2025,-0.92,0.79,-0.16801428475658400,1.3556349527362600,,681082,607208,2,2,Bot,,,,,,,6.418376676992330,-120.61921273726500,-6.6006708676276400,-10.257253526743300,23.564238460360500,-23.32237889067750,3.37,1.57,,,,82.6,980,6.1,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.38,,,,,,,,19,1,Split-Finger,3,0,3,0,0,3,3,0,Infield shade,Standard,216,0.002,0.024,,,,-0.024,,3,3,0.818,0.818,29,32,29,32,2,1,6,1,7,1,2.53,0.92,-0.92,47.8,,,,,
SL,2025-08-05,87.6,2.14,6.4,"Schwarber, Kyle",656941,664991,single,hit_into_play,,,,,2,Kyle Schwarber singles on a sharp ground ball to right fielder Ryan Noda.,R,L,L,PHI,BAL,X,9,ground_ball,3,2,2025,0,0.22,-0.017210413362595600,2.8274117415177700,,,,2,7,Bot,181.39,125.21,,,,,-5.196706881159960,-127.47663715386600,-2.944278651313050,1.061971806070870,26.976829348249400,-29.336741894116500,3.36,1.53,119,106.5,6,87.5,2386,6.3,776868,668939,691723,702616,676059,683002,681297,666185,676116,54.22,0.635,0.582,0.9,1,1,0,4,55,6,Slider,4,0,4,0,0,4,4,0,Infield shade,Standard,280,0.001,0.258,80.1,7.7,0.701,-0.258,106.5,4,4,0.966,0.966,28,32,29,32,1,3,3,1,4,1,2.75,0,0,42.6,20.344012105028800,-11.230415605571900,30.54634965848980,34.4014364247085,36.218169259520000
SL,2025-08-05,87.5,2.16,6.36,"Schwarber, Kyle",656941,664991,,ball,,,,,13,Ball,R,L,L,PHI,BAL,B,,,2,2,2025,-0.22,-0.02,-1.0473635023495500,1.02991453802909,,,,2,7,Bot,,,,,,,-7.291713386258720,-127.08754597409100,-6.653316356618620,-0.881791366227022,26.232263855882400,-31.198435770965700,3.42,1.53,,,,87.6,2504,6.5,776868,668939,691723,702616,676059,683002,681297,666185,676116,54.01,,,,,,,,55,5,Slider,4,0,4,0,0,4,4,0,Infield shade,Standard,286,0,0.104,,,,-0.104,,4,4,0.966,0.966,28,32,29,32,1,3,3,1,4,1,3.01,-0.22,-0.22,43.5,,,,,
SL,2025-08-05,88.5,2.1,6.34,"Schwarber, Kyle",656941,664991,,ball,,,,,13,Ball,R,L,L,PHI,BAL,B,,,1,2,2025,-0.38,0,-1.8539683916803200,0.6233700824927160,,,,2,7,Bot,,,,,,,-8.854530997531920,-128.3797881946810,-7.750126468160140,-2.0421780527556600,30.270587286055800,-30.532592974991100,3.37,1.53,,,,88,2465,6.4,776868,668939,691723,702616,676059,683002,681297,666185,676116,54.06,,,,,,,,55,4,Slider,4,0,4,0,0,4,4,0,Infield shade,Standard,276,0.001,0.042,,,,-0.042,,4,4,0.965,0.965,28,32,29,32,1,3,3,1,4,1,2.96,-0.38,-0.38,41.0,,,,,
SI,2025-08-05,97.7,2.01,6.41,"Schwarber, Kyle",656941,664991,,foul,,,,,12,Foul,R,L,L,PHI,BAL,S,,,1,1,2025,1.09,1.23,1.0661699459898700,3.7212723367066200,,,,2,7,Bot,,,,,,,-5.035176405052160,-142.03095762082500,-4.518637058520580,15.861822978978100,35.45180428100620,-14.710308573677600,3.36,1.53,263,79.5,30,97,2292,6.2,776868,668939,691723,702616,676059,683002,681297,666185,676116,54.34,,,,,,,,55,3,Sinker,4,0,4,0,0,4,4,0,Infield shade,Standard,148,-0.001,-0.062,79.7,7.6,,0.062,88.0,4,4,0.966,0.966,28,32,29,32,1,3,3,1,4,1,1.18,1.09,1.09,43.7,17.228163162362500,-26.521447693796800,27.10132592202710,22.3669497005791,32.58925038935950
SL,2025-08-05,87.8,2.16,6.32,"Schwarber, Kyle",656941,664991,,swinging_strike,,,,,2,Swinging Strike,R,L,L,PHI,BAL,S,,,1,0,2025,-0.33,0.06,0.2474464512124580,3.0105373866709700,,,,2,7,Bot,,,,,,,-3.9436388888372000,-127.92534284717700,-2.0627812691117100,-2.8086559122002600,25.871607522845400,-31.260069787107300,3.36,1.53,,,,87.9,2423,6.3,776868,668939,691723,702616,676059,683002,681297,666185,676116,54.24,,,,,,,,55,2,Slider,4,0,4,0,0,4,4,0,Infield shade,Standard,238,0,-0.054,75.4,7.1,,0.054,,4,4,0.966,0.966,28,32,29,32,1,3,3,1,4,1,2.88,-0.33,-0.33,40.5,12.792516427120200,11.993354107055900,31.07297034705010,32.61773522908010,22.88728289007000
SI,2025-08-05,97,1.96,6.36,"Schwarber, Kyle",656941,664991,,ball,,,,,12,Ball,R,L,L,PHI,BAL,B,,,0,0,2025,1.29,1.23,1.3568527987240300,3.027135062098760,,,,2,7,Bot,,,,,,,-4.589502498457040,-141.10645368690400,-6.1494673382802,18.276123171839100,34.14425392879470,-14.55390394309690,3.49,1.53,,,,96.9,2157,6.4,776868,668939,691723,702616,676059,683002,681297,666185,676116,54.09,,,,,,,,55,1,Sinker,4,0,4,0,0,4,4,0,Infield shade,Standard,149,0,0.037,,,,-0.037,,4,4,0.966,0.966,28,32,29,32,1,3,3,1,4,1,1.21,1.29,1.29,44.6,,,,,
FC,2025-08-05,88.9,-2.07,6.31,"Schwarber, Kyle",656941,665152,strikeout,swinging_strike,,,,,14,Kyle Schwarber strikes out swinging.,R,L,R,PHI,BAL,S,2,,1,2,2025,0.56,0.16,1.3273570171372400,1.8012212103703400,,,,1,1,Bot,,,,,,,7.107722549598420,-129.2483201449970,-5.317613907501790,4.798684158596400,26.675840606536800,-29.437232071341900,3.36,1.53,,,,88.4,2566,6,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.49,,0,0,1,0,0,,6,4,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,152,-0.012,-0.18,82.4,8.2,,0.18,,0,0,0.522,0.522,29,32,29,32,1,0,6,1,7,1,2.72,-0.56,0.56,45.2,26.627457511241400,-36.4989086325981,35.519454535495500,18.1131783345355,42.88970617429070
FS,2025-08-05,81.4,-1.81,6.51,"Schwarber, Kyle",656941,665152,,ball,,,,,11,Ball,R,L,R,PHI,BAL,B,,,0,2,2025,-0.78,0.75,-1.393480363944850,3.4746415128337800,,,,1,1,Bot,,,,,,,2.4150467946419300,-118.67179477954000,-1.7182340258837200,-7.867932641975060,20.6600320448291,-24.933701177655900,3.32,1.52,,,,81.4,1055,6,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.53,,,,,,,,6,3,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,217,0.002,0.017,,,,-0.017,,0,0,0.52,0.52,29,32,29,32,1,0,6,1,7,1,2.65,0.78,-0.78,50.3,,,,,
FS,2025-08-05,81.4,-1.93,6.41,"Schwarber, Kyle",656941,665152,,swinging_strike,,,,,8,Swinging Strike,R,L,R,PHI,BAL,S,,,0,1,2025,-0.77,0.61,0.011697021845527100,1.8659429577219000,,,,1,1,Bot,,,,,,,5.807249094073270,-118.51004441830600,-4.823453867226300,-8.28152223046877,20.623963239328500,-25.72466187906660,3.36,1.53,,,,81.4,1064,6.1,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.42,,,,,,,,6,2,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,214,-0.004,-0.052,81.1,8.3,,0.052,,0,0,0.524,0.524,29,32,29,32,1,0,6,1,7,1,2.8,0.77,-0.77,48.8,23.994647661086400,-32.1636586246511,33.01039947720480,33.59566521719480,48.912532123190300
CU,2025-08-05,77.9,-1.86,6.52,"Schwarber, Kyle",656941,665152,,called_strike,,,,,8,Called Strike,R,L,R,PHI,BAL,S,,,0,0,2025,0.51,-1.05,-0.24742268527191000,1.881760327170430,,,,1,1,Bot,,,,,,,2.5075434021590200,-113.37307129368400,-1.095549607891010,3.9249487114934800,22.125974127399300,-41.21417843113620,3.27,1.44,,,,77.3,2655,6,776868,668939,691723,702616,676059,683002,681297,666185,641933,54.5,,,,,,,,6,1,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,30,-0.002,-0.039,,,,0.039,,0,0,0.526,0.526,29,32,29,32,1,0,6,1,7,1,4.83,-0.51,0.51,48.9,,,,,
CH,2025-08-04,81.4,1.59,5.99,"Schwarber, Kyle",656941,700249,field_out,hit_into_play,,,,,4,Kyle Schwarber lines out to right fielder Jeremiah Jackson.,R,L,L,PHI,BAL,X,9,line_drive,2,2,2025,0.75,0.44,-0.4620905501131080,2.1093918750186600,,,,0,6,Bot,199.34,101.4,,,,,-6.0307621157864600,-118.40524184247100,-2.8659840839635600,8.272183793027640,24.73822060604970,-27.726485153813800,3.36,1.52,300,82.2,29,80.8,1131,6.1,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.4,0.114,0.122,0,1,0,0,3,43,5,Changeup,3,3,3,3,3,3,3,3,Infield shade,Standard,128,-0.031,-0.232,74.4,8.2,0.172,0.232,88.0,0,0,0.573,0.573,25,32,25,32,3,2,50,1,6,1,3.03,0.75,0.75,39.3,24.90155785947990,-20.721079865637700,27.806965258258800,38.88797028883310,42.4130776111633
ST,2025-08-04,83,1.63,6.02,"Schwarber, Kyle",656941,700249,,called_strike,,,,,6,Called Strike,R,L,L,PHI,BAL,S,,,2,1,2025,-0.98,-0.53,0.45642170259759400,2.8008050859674200,,,,0,6,Bot,,,,,,,-0.780589663809376,-120.81755615191200,0.1618627494923590,-9.357254372224640,25.04636992477480,-37.616929505486900,3.37,1.56,,,,82.2,2515,5.9,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.62,,,,,,,,43,4,Sweeper,3,3,3,3,3,3,3,3,Infield shade,Standard,317,-0.008,-0.073,,,,0.073,,0,0,0.581,0.581,25,32,25,32,3,2,50,1,6,1,3.86,-0.98,-0.98,40.4,,,,,
ST,2025-08-04,84.1,1.66,5.99,"Schwarber, Kyle",656941,700249,,ball,,,,,13,Ball,R,L,L,PHI,BAL,B,,,1,1,2025,-0.75,0.14,-1.34587255391027,1.2697434879956400,,,,0,6,Bot,,,,,,,-5.461663712373780,-122.42489787679800,-4.865475065676630,-6.5178608601690300,23.11475789637410,-30.004331655834000,3.33,1.52,,,,84,2427,6.1,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.42,,,,,,,,43,3,Sweeper,3,3,3,3,3,3,3,3,Infield shade,Standard,327,0.007,0.055,,,,-0.055,,0,0,0.574,0.574,25,32,25,32,3,2,50,1,6,1,3.07,-0.75,-0.75,40.4,,,,,
ST,2025-08-04,85.4,1.63,5.98,"Schwarber, Kyle",656941,700249,,ball,,,,,13,Ball,R,L,L,PHI,BAL,B,,,0,1,2025,-0.78,0.07,-2.21604356794984,0.1442055702701940,,,,0,6,Bot,,,,,,,-7.414621940288360,-123.91508480884000,-7.415137514148960,-6.239812454252850,28.931138924976100,-29.88867208848440,3.39,1.55,,,,84.2,2503,6.1,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.45,,,,,,,,43,2,Sweeper,3,3,3,3,3,3,3,3,Infield shade,Standard,326,0.003,0.031,,,,-0.031,,0,0,0.571,0.571,25,32,25,32,3,2,50,1,6,1,3.11,-0.78,-0.78,37.5,,,,,
SI,2025-08-04,90.8,1.52,6.19,"Schwarber, Kyle",656941,700249,,swinging_strike,,,,,12,Swinging Strike,R,L,L,PHI,BAL,S,,,0,0,2025,1.07,1.21,0.510257324956884,3.5012327263257200,,,,0,6,Bot,,,,,,,-4.808474113298550,-132.10953981247500,-3.3378772198387500,13.536007404157000,30.982358497643600,-17.53261492044790,3.36,1.52,,,,90.1,2238,6.1,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.37,,,,,,,,43,1,Sinker,3,3,3,3,3,3,3,3,Infield shade,Standard,136,-0.005,-0.039,78.6,7.2,,0.039,,0,0,0.576,0.576,25,32,25,32,3,2,50,1,6,1,1.58,1.07,1.07,42.6,17.00620499042360,-0.1488877483401830,30.06572639857800,28.95242377100180,27.4787157666004
FF,2025-08-04,92.5,1.55,6.03,"Schwarber, Kyle",656941,700249,home_run,hit_into_play,,,,,5,Kyle Schwarber homers (39) on a fly ball to right field. Edmundo Sosa scores.,R,L,L,PHI,BAL,X,,fly_ball,1,0,2025,0.97,1.42,-0.24356174976674800,2.672601914487540,,,624641,2,3,Bot,220.2,52.85,,,,,-6.673633057587610,-134.35844361428700,-5.756873622919150,13.304652233133000,31.799854271523400,-13.959161951616900,3.36,1.52,427,110.9,35,91.9,2388,6.2,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.27,0.9438000000000000,1.9182,2,1,0,3,6,25,2,4-Seam Fastball,1,3,1,3,3,3,3,3,Infield shade,Standard,139,0.213,2.191,79.4,8.1,3.7774,-2.191,110.9,-2,-2,0.299,0.299,25,32,25,32,2,1,50,1,6,1,1.28,0.97,0.97,40.8,17.088565173962200,-20.36272079197660,34.44245237087570,36.16426561379990,37.417905292105300
ST,2025-08-04,84.3,1.72,5.95,"Schwarber, Kyle",656941,700249,,ball,,,,,13,Ball,R,L,L,PHI,BAL,B,,,0,0,2025,-0.54,-0.39,-0.3730738343560340,0.9816336026147040,,,624641,2,3,Bot,,,,,,,-3.774239906488930,-122.71082298302300,-4.399034402438340,-4.705408575321920,24.00018549689930,-35.46589129531500,3.3,1.5,,,,83.8,2370,5.9,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.56,,,,,,,,25,1,Sweeper,1,3,1,3,3,1,1,3,Infield shade,Standard,324,0.002,0.035,,,,-0.035,,-2,-2,0.297,0.297,25,32,25,32,2,1,50,1,6,1,3.59,-0.54,-0.54,43.7,,,,,
CU,2025-08-04,80.2,-1.55,6.28,"Schwarber, Kyle",656941,660730,single,hit_into_play,,,,,4,Kyle Schwarber singles on a sharp line drive to right fielder Jeremiah Jackson.,R,L,R,PHI,BAL,X,9,line_drive,0,0,2025,0.29,-1.22,-0.28164418155301700,2.3271696715574300,,,,2,8,Bot,183.55,120.25,,,,,2.263707267351190,-116.77562946419900,0.3370571219173090,2.147106584544180,24.60552313200720,-43.52590297480540,3.36,1.52,191,100.9,12,80.1,2825,6.4,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.06,0.944,0.94,0.9,1,1,0,4,67,1,Curveball,13,3,13,3,3,13,13,3,Infield shade,Standard,39,0,0.325,74.6,7.7,1.215,-0.325,100.9,10,10,0.999,0.999,27,32,27,32,1,4,89,1,,1,4.79,-0.29,0.29,53.8,21.649040860175200,-12.918890448996100,25.021492582357800,35.89542339980870,36.60531083310030
SI,2025-08-04,93.2,1.56,6.08,"Schwarber, Kyle",656941,700249,strikeout,called_strike,,,,,4,Kyle Schwarber called out on strikes.,R,L,L,PHI,BAL,S,2,,1,2,2025,1.23,1.12,-0.6267746715511010,2.668447734449810,,,,1,1,Bot,,,,,,,-8.305299010253540,-135.4219864352270,-5.431343182259490,17.02517287341660,30.23217995866270,-17.33423979271890,3.38,1.48,,,,92.8,2248,6.2,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.34,,0,0,1,0,0,,5,4,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,138,-0.012,-0.18,,,,0.18,,0,0,0.522,0.522,25,32,25,32,1,0,50,1,6,1,1.51,1.23,1.23,40.9,,,,,
SI,2025-08-04,93,1.57,6.11,"Schwarber, Kyle",656941,700249,,foul,,,,,5,Foul,R,L,L,PHI,BAL,S,,,1,1,2025,1.26,1.05,0.09088026596651820,2.2589752221268200,,,,1,1,Bot,,,,,,,-6.546395957279190,-135.2368509023770,-6.398835928033080,16.86704160384790,29.93435904699480,-18.079823441002600,3.36,1.52,182,70,56,93,2333,6.4,776877,668939,691723,702616,676059,683002,681297,666185,669236,54.12,,,,,,,,5,3,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,137,-0.003,-0.064,78.2,7.2,,0.064,88.0,0,0,0.525,0.525,25,32,25,32,1,0,50,1,6,1,1.59,1.26,1.26,43.2,2.691773453900080,9.710182328075210,30.53693740753370,33.15639445506750,23.33697248592860
