pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2025-09-28,89.8,-2.64,5.55,"Schwarber, Kyle",656941,663485,field_out,hit_into_play,,,,,8,"Kyle Schwarber grounds out, first baseman Kody Clemens to pitcher Cole Sands.",R,L,R,PHI,MIN,X,3,ground_ball,2,2,2025,-1.23,0.26,-0.19161138681422600,1.3994375525528100,,,,0,9,Bot,157.95,167.75,,,,,8.553052442757600,-130.4426210149650,-4.798633468312700,-15.783194145795000,26.54964557574580,-28.412268414699200,3.29,1.52,6,94.1,-14,88.8,1610,5.7,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.79,0.162,0.139,0,1,0,0,2,64,5,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,250,-0.051,-0.232,77.0,7.8,0.193,0.232,94.1,0,0,0.633,0.633,27,32,28,32,1,3,3,1,,6,2.57,1.23,-1.23,19.6,11.10521279632740,-3.071032421983540,36.688317970098900,35.23441632497430,35.314898125706800
CU,2025-09-28,77.1,0.44,6.17,"Schwarber, Kyle",656941,664948,,foul,,,,,13,Foul,R,L,L,PHI,MIN,S,,,2,2,2025,-0.81,-1.12,-0.9892285717574930,1.8727940200507600,,,,0,7,Bot,,,,,,,-1.5561936534784300,-112.23215516460700,-0.09342195773516490,-6.522912833922490,21.52021688657910,-41.83037980339700,3.29,1.52,1,39.8,-65,76.6,2846,6,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.47,,,,,,,,47,5,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,328,0,0,77.0,8.1,,0,88.0,-1,-1,0.359,0.359,30,32,31,32,1,2,68,1,,6,4.97,-0.81,-0.81,51.7,23.579515171743300,-11.506203042877000,30.74505645519530,46.008096793824500,43.39516378677930
CU,2025-09-28,77.4,0.52,6.28,"Schwarber, Kyle",656941,664948,,ball,,,,,12,Ball,R,L,L,PHI,MIN,B,,,1,2,2025,-0.58,-1.36,0.17897074814651500,3.412314504057020,,,,0,7,Bot,,,,,,,0.3404556289544980,-112.52469077296200,3.331926237197970,-4.974832004455470,22.219642427195000,-44.57045051441460,3.16,1.48,,,,76.5,2888,5.9,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.63,,,,,,,,47,4,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,321,0.007,0.043,,,,-0.043,,-1,-1,0.352,0.352,30,32,31,32,1,2,68,1,,6,5.2,-0.58,-0.58,54.2,,,,,
SL,2025-09-28,86,-2.52,5.85,"Schwarber, Kyle",656941,663485,,foul,,,,,4,Foul,R,L,R,PHI,MIN,S,,,2,1,2025,0.18,0.2,-0.29768073742325500,2.360410500808300,,,,0,9,Bot,,,,,,,4.832288657695130,-125.22126914819200,-2.4068969216361500,0.9327599063234320,26.059993410376100,-29.738140484314000,3.29,1.52,7,71.6,-18,85,2324,5.6,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.85,,,,,,,,64,4,Slider,1,1,1,1,1,1,1,1,Infield shade,Standard,50,-0.013,-0.073,83.3,8.6,,0.073,88.0,0,0,0.646,0.646,27,32,28,32,1,3,3,1,,6,2.88,-0.18,0.18,22.5,28.634108889713800,-28.678713381417300,32.7137944302647,38.037781560238200,43.333193698446900
FC,2025-09-28,87.6,0.58,6.2,"Schwarber, Kyle",656941,664948,,swinging_strike,,,,,4,Swinging Strike,R,L,L,PHI,MIN,S,,,1,1,2025,-0.15,0.41,-0.5051032449241580,2.532640765100120,,,,0,7,Bot,,,,,,,-2.2973235911769200,-127.66069950272200,-3.609035642029350,-1.212217441672910,24.84135773308760,-27.160789387264800,3.29,1.52,,,,87.7,2369,6.1,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.37,,,,,,,,47,3,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,174,-0.01,-0.061,,,,0.061,,-1,-1,0.362,0.362,30,32,31,32,1,2,68,1,,6,2.54,-0.15,-0.15,50.3,,,,,
FC,2025-09-28,91.2,-2.42,5.84,"Schwarber, Kyle",656941,663485,,ball,,,,,14,Ball,R,L,R,PHI,MIN,B,,,1,1,2025,-0.3,0.67,1.1202968020216600,1.387238410748700,,,,0,9,Bot,,,,,,,9.425999057306250,-132.3998913664230,-6.6708310829826500,-5.50144756438195,27.248796735370500,-23.05983751702110,3.28,1.52,,,,90.2,2377,5.7,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.78,,,,,,,,64,3,Cutter,1,1,1,1,1,1,1,1,Infield shade,Standard,210,0.01,0.055,,,,-0.055,,0,0,0.636,0.636,27,32,28,32,1,3,3,1,,6,2.08,0.3,-0.3,25.2,,,,,
FS,2025-09-28,87.4,-2.54,5.72,"Schwarber, Kyle",656941,663485,,ball,,,,,13,Ball,R,L,R,PHI,MIN,B,,,0,1,2025,-1.09,-0.06,-1.199895123158670,1.6571916390806000,,,,0,9,Bot,,,,,,,5.420117933918470,-127.27873062724200,-3.5321644810103900,-12.983269109338100,25.040373134839400,-32.31082666965650,3.14,1.48,,,,86.7,1369,5.7,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.78,,,,,,,,64,2,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,246,0.006,0.031,,,,-0.031,,0,0,0.63,0.63,27,32,28,32,1,3,3,1,,6,3.03,1.09,-1.09,20.0,,,,,
CU,2025-09-28,77.5,0.59,6.17,"Schwarber, Kyle",656941,664948,,foul,,,,,8,Foul,R,L,L,PHI,MIN,S,,,1,0,2025,-0.47,-1.55,-0.23834796730551300,1.855703784331790,,,,0,7,Bot,,,,,,,-0.8976396952265750,-112.80161647246500,0.6025504115474310,-3.8052394696293100,22.536183683089900,-45.679725368586300,3.29,1.52,1,60.2,-66,76.6,2835,5.9,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.64,,,,,,,,47,2,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,332,-0.01,-0.05,78.1,8.0,,0.05,88.0,-1,-1,0.372,0.372,30,32,31,32,1,2,68,1,,6,5.38,-0.47,-0.47,52.4,23.833785709185700,-18.72648746791440,31.22457685984940,37.91781445585790,43.326385707925800
FS,2025-09-28,88.4,-2.66,5.68,"Schwarber, Kyle",656941,663485,,foul,,,,,5,Foul,R,L,R,PHI,MIN,S,,,0,0,2025,-1.22,0.16,-0.030614681748770000,2.618330930932650,,,,0,9,Bot,,,,,,,8.831532241843350,-128.51582716214600,-1.7819971540928800,-15.257884242758200,22.79729499833170,-30.238891966357500,3.29,1.52,5,103.2,-30,87.9,1551,5.7,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.76,,,,,,,,64,1,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,249,-0.009,-0.039,77.7,7.9,,0.039,103.2,0,0,0.639,0.639,27,32,28,32,1,3,3,1,,6,2.73,1.22,-1.22,20.9,24.44533231565440,-13.763486195535700,29.754487508710800,34.47188156069040,40.04538219220580
CU,2025-09-28,77.3,0.57,6.42,"Schwarber, Kyle",656941,664948,,ball,,,,,11,Ball,R,L,L,PHI,MIN,B,,,0,0,2025,-0.6,-1.42,-0.021697362177142700,4.486836466991100,,,,0,7,Bot,,,,,,,-0.16558256537661700,-112.37689200938800,5.450735403226260,-5.04537213235818,22.372148922264600,-45.44593855080940,3.26,1.54,,,,76.4,2831,5.9,776141,543877,665019,680837,668904,686797,668885,681546,680577,54.62,,,,,,,,47,1,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,328,0.008,0.041,,,,-0.041,,-1,-1,0.364,0.364,30,32,31,32,1,2,68,1,,6,5.27,-0.6,-0.6,54.0,,,,,
